Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
TRUE,1022,10,24,29,08B,1154907,1893681,2016,05-10-2016 15:56,41.86407316,-87.70681861,"(41.864073157, -87.706818608)"
TRUE,313,3,20,42,08B,1183066,1864330,2016,05-10-2016 15:56,41.78292153,-87.60436317,"(41.782921527, -87.60436317)"
FALSE,1524,15,37,25,24,1140789,1904819,2016,05-10-2016 15:56,41.89490828,-87.75837196,"(41.894908283, -87.758371958)"
FALSE,1532,15,28,25,08B,1143223,1901475,2016,05-10-2016 15:56,41.88568685,-87.74951598,"(41.885686845, -87.749515983)"
TRUE,1523,15,28,25,6,1139890,1901675,2016,05-10-2016 15:56,41.88629724,-87.76175071,"(41.886297242, -87.761750709)"
FALSE,631,6,8,44,04B,1183336,1850642,2016,05-10-2016 15:56,41.74535402,-87.6037989,"(41.745354023, -87.603798903)"
FALSE,133,1,3,35,08B,1176730,1886544,2016,05-10-2016 15:56,41.84402377,-87.62692325,"(41.844023772, -87.626923253)"
FALSE,215,2,3,38,08B,1178514,1874573,2016,05-10-2016 15:56,41.81113396,-87.62074077,"(41.811133958, -87.62074077)"
FALSE,2432,24,40,1,08B,1165696,1942616,2016,05-10-2016 15:56,41.99813061,-87.66581404,"(41.99813061, -87.665814038)"
TRUE,735,7,17,67,08B,1166876,1858796,2016,05-10-2016 15:56,41.76809684,-87.66387859,"(41.768096835, -87.663878589)"
FALSE,334,3,7,43,15,1195696,1856719,2016,05-10-2016 15:56,41.76173329,-87.55830998,"(41.761733286, -87.558309979)"
TRUE,1834,18,42,8,08B,1176630,1904401,2016,05-10-2016 15:56,41.89302675,-87.62675083,"(41.893026751, -87.626750829)"
FALSE,1232,12,2,28,6,1168776,1898793,2016,05-10-2016 15:56,41.87781186,-87.65575801,"(41.877811861, -87.655758012)"
FALSE,133,1,4,35,6,1179375,1886199,2016,05-10-2016 15:56,41.84301696,-87.61722727,"(41.843016958, -87.61722727)"
FALSE,1434,14,1,24,6,1160444,1910787,2016,05-10-2016 15:56,41.91090083,-87.68601875,"(41.910900826, -87.686018747)"
TRUE,831,8,18,66,08B,1157957,1856539,2016,05-10-2016 15:56,41.76208913,-87.69663234,"(41.762089133, -87.696632337)"
FALSE,1424,14,1,24,6,1162515,1909832,2016,05-10-2016 15:56,41.9082371,-87.67843742,"(41.908237096, -87.678437417)"
FALSE,225,2,3,40,3,1177219,1868295,2016,05-10-2016 15:56,41.79393591,-87.62568028,"(41.793935909, -87.625680278)"
FALSE,2232,22,34,73,7,1171751,1838335,2016,05-10-2016 15:56,41.71184357,-87.64660793,"(41.711843569, -87.646607932)"
TRUE,222,2,4,39,08B,1183654,1876344,2016,05-10-2016 15:56,41.81587521,-87.60183257,"(41.815875211, -87.601832565)"
FALSE,1424,14,1,24,08A,1162780,1910519,2016,05-10-2016 15:56,41.91011672,-87.67744465,"(41.910116718, -87.677444645)"
FALSE,235,2,5,41,08A,1182557,1867162,2016,05-10-2016 15:56,41.79070461,-87.60614149,"(41.790704614, -87.606141486)"
FALSE,1932,19,32,7,6,1165898,1916813,2016,05-10-2016 15:56,41.92732184,-87.66581042,"(41.927321839, -87.665810418)"
FALSE,1611,16,41,10,6,1129898,1941574,2016,05-10-2016 15:56,41.99596152,-87.79752856,"(41.995961517, -87.797528563)"
FALSE,1831,18,42,8,26,1173680,1903250,2016,05-10-2016 15:56,41.88993449,-87.63761923,"(41.889934493, -87.637619229)"
FALSE,2223,22,21,73,6,1170857,1841803,2016,05-10-2016 15:56,41.7213798,-87.64978116,"(41.721379795, -87.649781161)"
FALSE,1932,19,32,7,6,1167657,1916082,2016,05-10-2016 15:56,41.92527818,-87.65936796,"(41.925278177, -87.65936796)"
FALSE,915,9,11,34,11,1175297,1883093,2016,05-10-2016 15:56,41.83458618,-87.63228541,"(41.834586177, -87.632285413)"
FALSE,821,8,14,58,11,1155409,1875700,2016,05-10-2016 15:56,41.81472107,-87.7054583,"(41.814721065, -87.7054583)"
FALSE,613,6,21,71,7,1171118,1848917,2016,05-10-2016 15:56,41.74089592,-87.64861788,"(41.740895923, -87.648617881)"
FALSE,122,1,2,32,7,1174166,1899864,2016,05-10-2016 15:56,41.88063228,-87.63593549,"(41.88063228, -87.635935494)"
FALSE,1513,15,29,25,08B,1138636,1898830,2016,05-10-2016 15:56,41.87851302,-87.76642478,"(41.87851302, -87.766424778)"
FALSE,2534,25,37,23,6,1147775,1908648,2016,05-10-2016 15:56,41.90528413,-87.73261553,"(41.90528413, -87.732615525)"
FALSE,1923,19,44,6,6,1169265,1925099,2016,05-10-2016 15:56,41.94998639,-87.65319658,"(41.949986394, -87.65319658)"
FALSE,2433,24,48,77,14,1167960,1941343,2016,05-10-2016 15:56,41.99458874,-87.65752255,"(41.994588742, -87.657522554)"
FALSE,511,5,9,49,11,1181016,1838453,2016,05-10-2016 15:56,41.7119596,-87.61267363,"(41.711959596, -87.612673629)"
FALSE,925,9,11,61,6,1172757,1877882,2016,05-10-2016 15:56,41.82034323,-87.64175921,"(41.820343226, -87.641759214)"
FALSE,1733,17,33,21,14,1155113,1922566,2016,05-10-2016 15:56,41.94333206,-87.70528607,"(41.943332055, -87.705286066)"
FALSE,331,3,5,43,6,1192946,1860098,2016,05-10-2016 15:56,41.77107306,-87.56827866,"(41.771073064, -87.568278663)"
TRUE,725,7,17,67,08B,1166850,1859459,2016,05-10-2016 15:56,41.76991675,-87.66395498,"(41.769916749, -87.663954978)"
FALSE,533,5,9,54,6,1183339,1817078,2016,05-10-2016 15:56,41.65324998,-87.60482818,"(41.653249978, -87.604828177)"
FALSE,824,8,16,66,7,1158392,1865224,2016,05-10-2016 15:56,41.78591319,-87.69480165,"(41.785913194, -87.694801653)"
FALSE,811,8,23,56,14,1130469,1867268,2016,05-10-2016 15:56,41.79204575,-87.79713628,"(41.792045748, -87.797136278)"
FALSE,2213,22,21,73,26,1170219,1841786,2016,05-10-2016 15:56,41.72134702,-87.65211853,"(41.721347022, -87.652118525)"
FALSE,1732,17,30,21,6,1150905,1923676,2016,05-10-2016 15:56,41.94646154,-87.72072354,"(41.946461543, -87.72072354)"
FALSE,112,1,42,32,14,1176814,1900257,2016,05-10-2016 15:56,41.88165124,-87.62620049,"(41.881651236, -87.626200491)"
FALSE,424,4,7,46,15,1199184,1847728,2016,05-10-2016 15:56,41.73697442,-87.545828,"(41.736974418, -87.545827999)"
FALSE,2511,25,29,19,7,1133897,1918956,2016,05-10-2016 15:56,41.93382589,-87.78335189,"(41.933825894, -87.78335189)"
TRUE,914,9,11,60,26,1172771,1885463,2016,05-10-2016 15:56,41.84114586,-87.64148388,"(41.841145857, -87.641483881)"
FALSE,324,3,8,43,7,1188770,1857957,2016,05-10-2016 15:56,41.7652989,-87.58365451,"(41.765298896, -87.583654511)"
FALSE,1611,16,41,10,6,1130812,1940757,2016,05-10-2016 15:56,41.99370385,-87.79418524,"(41.993703853, -87.794185238)"
FALSE,1832,18,42,8,11,1175628,1906198,2016,05-10-2016 15:56,41.8979804,-87.63037668,"(41.897980396, -87.630376682)"
TRUE,723,7,16,68,08B,1171414,1862128,2016,05-10-2016 15:56,41.77714211,-87.64714727,"(41.777142114, -87.647147267)"
